dep,predictors,proportion,m_try,ntree,rmse,r2,nse,n_test
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,2,100,0.00503136841595238,0.28,0.28160877352818015,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,3,100,0.005039064939702923,0.28,0.27940923509462545,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,4,100,0.005078983003860864,0.27,0.2679473780851336,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,5,100,0.005204045400958581,0.23,0.2314521093887576,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,6,100,0.0052742162674503466,0.21,0.21058631803211592,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,2,500,0.0049905407496144685,0.29,0.2932204198819245,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,3,500,0.005021258558669731,0.28,0.2844928938432535,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,4,500,0.00506915039617431,0.27,0.27077905474010766,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,5,500,0.005179461496500736,0.24,0.23869619704065292,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,6,500,0.005287635505369431,0.21,0.20656418248381603,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,2,1000,0.0049911376890039265,0.29,0.2930513280639877,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,3,1000,0.005024016818505246,0.28,0.2837065983188014,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,4,1000,0.0050664384079364974,0.27,0.27155911035293023,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,5,1000,0.005176100155259516,0.24,0.23968401073809653,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,6,1000,0.005289703541289243,0.21,0.20594342311247016,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,2,2000,0.004989827856496961,0.29,0.29342233079128033,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,3,2000,0.005024068260859441,0.28,0.2836919295751025,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,4,2000,0.0050728039273342474,0.27,0.26972752091506935,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,5,2000,0.005171766665672192,0.24,0.2409565681047915,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.7,6,2000,0.005287944974356712,0.21,0.2064713050666307,614
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,2,100,0.005241618813521156,0.26,0.2590778396401233,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,3,100,0.0052415111665181134,0.26,0.2591082719298008,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,4,100,0.005378735415749914,0.22,0.21980694813685475,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,5,100,0.005350002080178834,0.23,0.2281203041566463,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,6,100,0.005472820195194828,0.19,0.19227397653515632,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,2,500,0.005242770065271627,0.26,0.25875233653196306,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,3,500,0.005272159449674776,0.25,0.2504186229473597,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,4,500,0.0053278789445167386,0.23,0.23449080350055218,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,5,500,0.0053326857800392235,0.23,0.2331088889536741,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,6,500,0.00546416171458652,0.19,0.19482774134185332,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,2,1000,0.0052591138913472175,0.25,0.2541235978571824,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,3,1000,0.005277456288897117,0.25,0.24891168577093536,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,4,1000,0.005315168122954069,0.24,0.23813902602242765,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,5,1000,0.005350040366729881,0.23,0.22810925641622337,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,6,1000,0.005463717324772083,0.19,0.19495870225380596,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,2,2000,0.005253873255405927,0.26,0.255609368728522,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,3,2000,0.005274416904793143,0.25,0.24977656778664903,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,4,2000,0.005311374459096281,0.24,0.2392261837299483,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,5,2000,0.0053546310482437,0.23,0.226784023482417,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.8,6,2000,0.005455717704948078,0.2,0.1973143547920052,409
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.9,2,100,0.00543512245742532,0.18,0.17604109952828628,205
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.9,3,100,0.005505778449034473,0.15,0.15447910344914673,205
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.9,4,100,0.005617476149762094,0.12,0.11982433562531714,205
