"","objectid","paper","doi","tea_type","tea_brand","inventory_id","site_name","region_or_state","longitude","latitude","ecosystem_type_reported","ecosystem_zone","tai","tai_position","koppen_geiger_climate_class","soil_depth_cm","in_8cm_depth_range_5_10_cm","length_of_incubation_days","start_of_experiment","end_of_experiment","in_90_day_range_76_104_days","k","s","salinity_psu","elevation_meters","bulk_density_0_5cm","bulk_density_5_15cm","cation_exchange_capacity_0_5","cation_exchange_capacity_5_15","course_fragments_volumetric","clay","nitrogen","organic_carbon_density","organic_carbon_stock","p_h","sand","silt","soil_organic_carbon_content","water_content_10kpa","water_content_33kpa","water_content_1500kpa","total_nemotode_per100g","total_nemotode_per_square_meter","mean_annual_air_temp_c","temp_month_1","temp_month_2","temp_month_3","temp_month_4","temp_month_5","temp_month_6","temp_month_7","temp_month_8","temp_month_9","temp_month_10","temp_month_11","temp_month_12","mean_annual_precip_mm","precip_month_1","precip_month_2","precip_month_3","precip_month_4","precip_month_5","precip_month_6","precip_month_7","precip_month_8","precip_month_9","precip_month_10","precip_month_11","precip_month_12","f69","f70","f71","f72","f73","f74","f75","f76","f77","f78","f79","f80","f81","f82","f83","Category"
"696",696,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",911,116,NA,153.0708313,-27.63750076,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.023571356,0.518057686,NA,50,123.3333359,126.9666672,191.5666656,171.3999939,42.83333206,260.6333313,203.1999969,341.4333191,39.26666641,56.83333206,505.9333191,233.3999939,365.0666809,341.5,276.9666748,135.1000061,677.5675049,1304656.25,20.1750000316667,25,24.70000076,23.60000038,21.20000076,18.29999924,15.19999981,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1196,176,157,119,110,105,53,58,36,35,95,112,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"697",697,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",912,117,NA,153.0958405,-27.63750076,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.00946691,0.214358618,NA,36,121,123,194,171,59,317,209,336,39,56,428,255,408,333,258,146,742.4244385,1470000.375,20.2749998575,25.20000076,24.79999924,23.70000076,21.29999924,18.39999962,15.30000019,14.30000019,15.19999981,17.89999962,20.39999962,22.5,24.29999924,1195,160,159,123,106,109,55,60,37,37,93,118,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"698",698,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",913,118,NA,153.0708313,-27.63750076,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.008770946,0.306222444,NA,50,123.3333359,126.9666672,191.5666656,171.3999939,42.83333206,260.6333313,203.1999969,341.4333191,39.26666641,56.83333206,505.9333191,233.3999939,365.0666809,341.5,276.9666748,135.1000061,677.5675049,1304656.25,20.1750000316667,25,24.70000076,23.60000038,21.20000076,18.29999924,15.19999981,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1196,176,157,119,110,105,53,58,36,35,95,112,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"699",699,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",914,119,NA,153.0708313,-27.63750076,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.001450309,0.502975565,NA,50,123.3333359,126.9666672,191.5666656,171.3999939,42.83333206,260.6333313,203.1999969,341.4333191,39.26666641,56.83333206,505.9333191,233.3999939,365.0666809,341.5,276.9666748,135.1000061,677.5675049,1304656.25,20.1750000316667,25,24.70000076,23.60000038,21.20000076,18.29999924,15.19999981,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1196,176,157,119,110,105,53,58,36,35,95,112,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"700",700,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",915,120,NA,153.0958405,-27.63750076,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.014450592,0.167055603,NA,36,121,123,194,171,59,317,209,336,39,56,428,255,408,333,258,146,742.4244385,1470000.375,20.2749998575,25.20000076,24.79999924,23.70000076,21.29999924,18.39999962,15.30000019,14.30000019,15.19999981,17.89999962,20.39999962,22.5,24.29999924,1195,160,159,123,106,109,55,60,37,37,93,118,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"701",701,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",916,121,NA,153.0791626,-27.63750076,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.003536684,0.286341467,NA,76,123,126,174,158,43,296,167,346,40,57,497,207,321,331,280,139,913.0263062,1749814.875,20.1416668883333,25,24.70000076,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15.10000038,17.70000076,20.29999924,22.39999962,24.20000076,1199,157,159,121,113,106,54,61,36,36,95,118,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"702",702,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",917,122,NA,153.0958405,-27.63750076,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.009232062,0.387117456,NA,36,121,123,194,171,59,317,209,336,39,56,428,255,408,333,258,146,742.4244385,1470000.375,20.2749998575,25.20000076,24.79999924,23.70000076,21.29999924,18.39999962,15.30000019,14.30000019,15.19999981,17.89999962,20.39999962,22.5,24.29999924,1195,160,159,123,106,109,55,60,37,37,93,118,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"703",703,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",918,123,NA,153.0958405,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.006779854,0.336386686,NA,60,125,127,164,155,53,298,208,345,38,56,407,296,340,340,260,142,776.4960938,1525814.875,20.2083334916667,25.10000038,24.70000076,23.70000076,21.20000076,18.29999924,15.30000019,14.30000019,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1207,159,160,125,114,109,55,60,37,36,96,118,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"704",704,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",919,124,NA,153.0708313,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",NA,0.417281697,NA,48,123.1071396,126.75,185.9285736,165.8571472,43.92856979,255.1785736,201.7142792,342.5714417,39.5,56.8928566,516.4285889,228.3571472,357.4642944,342.5,276,132.8571472,612.1105347,1170355.375,20.150000095,25,24.70000076,23.60000038,21.10000038,18.29999924,15.19999981,14.19999981,15.10000038,17.70000076,20.29999924,22.39999962,24.20000076,1180,160,155,118,103,105,53,60,36,38,96,115,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"705",705,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",920,125,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.006667568,0.169797806,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"706",706,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",921,126,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.010680325,0.378205293,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"707",707,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",922,127,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.003014428,0.242466206,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"708",708,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",923,128,NA,153.0791626,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.005539545,0.516001033,NA,72,120,126,192,177,28,272,208,321,36,57,507,221,324,331,277,147,746.7210693,1412796.25,20.1083335866667,25,24.60000038,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15,17.70000076,20.20000076,22.39999962,24.10000038,1197,158,160,123,105,107,52,59,36,36,96,121,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"709",709,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",924,129,NA,153.0791626,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.003449946,0.402199576,NA,72,120,126,192,177,28,272,208,321,36,57,507,221,324,331,277,147,746.7210693,1412796.25,20.1083335866667,25,24.60000038,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15,17.70000076,20.20000076,22.39999962,24.10000038,1197,158,160,123,105,107,52,59,36,36,96,121,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"710",710,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",925,130,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.013685674,0.323361218,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"711",711,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",926,131,NA,153.0791626,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.057802332,0.493377852,NA,72,120,126,192,177,28,272,208,321,36,57,507,221,324,331,277,147,746.7210693,1412796.25,20.1083335866667,25,24.60000038,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15,17.70000076,20.20000076,22.39999962,24.10000038,1197,158,160,123,105,107,52,59,36,36,96,121,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"712",712,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",927,132,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.004973713,0.574958414,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"713",713,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",928,133,NA,153.0791626,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.002638639,0.320619014,NA,72,120,126,192,177,28,272,208,321,36,57,507,221,324,331,277,147,746.7210693,1412796.25,20.1083335866667,25,24.60000038,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15,17.70000076,20.20000076,22.39999962,24.10000038,1197,158,160,123,105,107,52,59,36,36,96,121,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"714",714,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",929,134,NA,153.0791626,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.005030641,0.392601863,NA,72,120,126,192,177,28,272,208,321,36,57,507,221,324,331,277,147,746.7210693,1412796.25,20.1083335866667,25,24.60000038,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15,17.70000076,20.20000076,22.39999962,24.10000038,1197,158,160,123,105,107,52,59,36,36,96,121,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"715",715,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",930,135,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.002719874,0.363808724,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"716",716,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",931,136,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",NA,0.254806123,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"717",717,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",932,138,NA,153.0791626,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.007918769,0.426193863,NA,72,120,126,192,177,28,272,208,321,36,57,507,221,324,331,277,147,746.7210693,1412796.25,20.1083335866667,25,24.60000038,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15,17.70000076,20.20000076,22.39999962,24.10000038,1197,158,160,123,105,107,52,59,36,36,96,121,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"718",718,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",933,139,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.013012552,0.491321199,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"719",719,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",934,140,NA,153.0708313,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.006952847,0.333644482,NA,48,123.1071396,126.75,185.9285736,165.8571472,43.92856979,255.1785736,201.7142792,342.5714417,39.5,56.8928566,516.4285889,228.3571472,357.4642944,342.5,276,132.8571472,612.1105347,1170355.375,20.150000095,25,24.70000076,23.60000038,21.10000038,18.29999924,15.19999981,14.19999981,15.10000038,17.70000076,20.29999924,22.39999962,24.20000076,1180,160,155,118,103,105,53,60,36,38,96,115,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"720",720,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",935,141,NA,153.0791626,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.014092185,0.337757788,NA,72,120,126,192,177,28,272,208,321,36,57,507,221,324,331,277,147,746.7210693,1412796.25,20.1083335866667,25,24.60000038,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15,17.70000076,20.20000076,22.39999962,24.10000038,1197,158,160,123,105,107,52,59,36,36,96,121,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"721",721,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",936,142,NA,153.0791626,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",NA,0.286341467,NA,72,120,126,192,177,28,272,208,321,36,57,507,221,324,331,277,147,746.7210693,1412796.25,20.1083335866667,25,24.60000038,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15,17.70000076,20.20000076,22.39999962,24.10000038,1197,158,160,123,105,107,52,59,36,36,96,121,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"722",722,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",937,143,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.000651359,0.38300415,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"723",723,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",938,144,NA,153.0708313,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.004631828,0.303480241,NA,48,123.1071396,126.75,185.9285736,165.8571472,43.92856979,255.1785736,201.7142792,342.5714417,39.5,56.8928566,516.4285889,228.3571472,357.4642944,342.5,276,132.8571472,612.1105347,1170355.375,20.150000095,25,24.70000076,23.60000038,21.10000038,18.29999924,15.19999981,14.19999981,15.10000038,17.70000076,20.29999924,22.39999962,24.20000076,1180,160,155,118,103,105,53,60,36,38,96,115,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"724",724,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",939,145,NA,153.0708313,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.009196589,0.256862776,NA,48,123.1071396,126.75,185.9285736,165.8571472,43.92856979,255.1785736,201.7142792,342.5714417,39.5,56.8928566,516.4285889,228.3571472,357.4642944,342.5,276,132.8571472,612.1105347,1170355.375,20.150000095,25,24.70000076,23.60000038,21.10000038,18.29999924,15.19999981,14.19999981,15.10000038,17.70000076,20.29999924,22.39999962,24.20000076,1180,160,155,118,103,105,53,60,36,38,96,115,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"725",725,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",940,146,NA,153.0708313,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.009144225,0.402885127,NA,48,123.1071396,126.75,185.9285736,165.8571472,43.92856979,255.1785736,201.7142792,342.5714417,39.5,56.8928566,516.4285889,228.3571472,357.4642944,342.5,276,132.8571472,612.1105347,1170355.375,20.150000095,25,24.70000076,23.60000038,21.10000038,18.29999924,15.19999981,14.19999981,15.10000038,17.70000076,20.29999924,22.39999962,24.20000076,1180,160,155,118,103,105,53,60,36,38,96,115,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"726",726,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",941,148,NA,153.0791626,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.004540456,0.267831591,NA,72,120,126,192,177,28,272,208,321,36,57,507,221,324,331,277,147,746.7210693,1412796.25,20.1083335866667,25,24.60000038,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15,17.70000076,20.20000076,22.39999962,24.10000038,1197,158,160,123,105,107,52,59,36,36,96,121,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"727",727,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",942,149,NA,153.0791626,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.002105464,0.36106652,NA,72,120,126,192,177,28,272,208,321,36,57,507,221,324,331,277,147,746.7210693,1412796.25,20.1083335866667,25,24.60000038,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15,17.70000076,20.20000076,22.39999962,24.10000038,1197,158,160,123,105,107,52,59,36,36,96,121,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"728",728,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",943,150,NA,153.0791626,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.006761384,0.271944897,NA,72,120,126,192,177,28,272,208,321,36,57,507,221,324,331,277,147,746.7210693,1412796.25,20.1083335866667,25,24.60000038,23.60000038,21.10000038,18.20000076,15.19999981,14.19999981,15,17.70000076,20.20000076,22.39999962,24.10000038,1197,158,160,123,105,107,52,59,36,36,96,121,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"729",729,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",944,151,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.004616607,0.229440739,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"730",730,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",945,152,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.009296918,0.240409554,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"731",731,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",946,153,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.004273254,0.284284814,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"732",732,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",947,154,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.005720182,0.407683984,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"733",733,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",948,155,NA,153.0874939,-27.62916756,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.00308713,0.298681384,NA,59,120,123,183,173,56,346,203,357,38,55,413,241,438,338,265,135,798.6439819,1532198.5,20.1916667616667,25.10000038,24.70000076,23.60000038,21.20000076,18.29999924,15.30000019,14.19999981,15.10000038,17.79999924,20.29999924,22.5,24.20000076,1263,158,216,123,114,108,55,60,37,37,93,118,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
